datetime,open,high,low,close,volume,openinterest
1662076800000,0.331166,0.334874,0.327505,0.331732,4473.19674449,33
1662163200000,0.329286,0.332044,0.328876,0.331468,4952.82630785,25
1662249600000,0.331204,0.333982,0.329,0.331973,13252.11370459,59
1662336000000,0.332612,0.334084,0.321633,0.332031,23049.97916853,73
1662422400000,0.333207,0.340043,0.32,0.32491,24502.17084179,86
1662508800000,0.315,0.339999,0.315,0.337248,9946.60181875,30
1662595200000,0.334412,0.340862,0.329897,0.340858,60333.45764606,94
1662681600000,0.341539,0.355157,0.340006,0.350951,19636.13122475,41
1662768000000,0.35282,0.357716,0.352326,0.356485,8812.86066512,34
1662854400000,0.355854,0.358054,0.3529,0.3529,35130.74292906,31
1662940800000,0.354013,0.358005,0.3525,0.3575,20432.19424871,33
1663027200000,0.352984,0.356334,0.333,0.333,4002.54950668,21
1663113600000,0.332173,0.35,0.332173,0.34707,17270.96908629,40
1663200000000,0.33917,0.341611,0.324756,0.326554,6802.52969154,21
1663286400000,0.326554,0.357,0.323307,0.357,5738.20327324,20
1663372800000,0.339992,0.379554,0.339992,0.373387,16159.50339302,50
1663459200000,0.367017,0.394579,0.367017,0.367556,33418.33616091,94
1663545600000,0.348,0.393868,0.343917,0.382565,31462.01674544,45
1663632000000,0.381001,0.421072,0.38,0.41569,34138.05289784,85
1663718400000,0.406,0.435073,0.382376,0.38959,74696.73738341,119
1663804800000,0.4045,0.493747,0.4045,0.472422,59242.22577008,145
1663891200000,0.4825,0.55352,0.456,0.52015,83250.1573104,223
1663977600000,0.503104,0.5192,0.481004,0.491924,13155.39828092,29
1664064000000,0.488498,0.518867,0.479651,0.49365,48158.97540661,144
1664150400000,0.48,0.499998,0.460348,0.47,35721.6476707,84
1664236800000,0.478906,0.490999,0.43739,0.449689,32101.20139599,104
1664323200000,0.430707,0.450862,0.410604,0.45,31289.08379741,62
1664409600000,0.446833,0.512788,0.431873,0.470826,38478.2330336,89
1664496000000,0.461554,0.497409,0.461554,0.475594,7024.21126761,39
1664582400000,0.4719,0.49616,0.471,0.473245,2408.67771765,20
1664668800000,0.479877,0.479877,0.45,0.45,28201.83718224,37
1664755200000,0.442001,0.465359,0.441359,0.465359,12058.39761449,32
1664841600000,0.457727,0.489615,0.457727,0.480656,4328.5183702,28
1664928000000,0.478573,0.50245,0.476579,0.495224,2962.37725011,24
1665014400000,0.497,0.49995,0.491966,0.496,22267.857096,33
1665100800000,0.48987,0.523648,0.485025,0.522142,28173.5500036,55
1665187200000,0.518332,0.529796,0.514983,0.514983,6759.85235937,18
1665273600000,0.5154,0.545966,0.514876,0.534,33992.9920823,50
1665360000000,0.534696,0.534696,0.5,0.5,23405.09459337,25
1665446400000,0.495,0.501368,0.480529,0.487742,33510.05659515,41
1665532800000,0.486058,0.499991,0.485381,0.485381,12985.71030928,52
1665619200000,0.48,0.48976,0.445093,0.484492,23253.70842041,38
1665705600000,0.49375,0.51,0.489087,0.489895,37834.60280226,41
1665792000000,0.488219,0.488219,0.485,0.486657,402.87260228,5
1665878400000,0.481264,0.485507,0.473681,0.480706,2386.37669866,18
1665964800000,0.472548,0.494997,0.467112,0.47,61823.22684365,34
1666051200000,0.483408,0.739491,0.46,0.466,69654.15184138,165
1666137600000,0.4663,0.474917,0.449999,0.449999,20021.55785731,42
1666224000000,0.462832,0.474088,0.428,0.448392,10225.78582973,66
1666310400000,0.446908,0.462846,0.437921,0.462846,5506.31153228,30
1666396800000,0.461809,0.469,0.460304,0.466943,13948.53354024,28
1666483200000,0.457923,0.468591,0.453501,0.468591,8697.59907376,25
1666569600000,0.46,0.461764,0.4535,0.454,15792.31294431,25
1666656000000,0.4541,0.472194,0.447791,0.46,136093.34374668,199
1666742400000,0.46,0.469568,0.46,0.467912,5336.69962278,19
1666828800000,0.47,0.48,0.4617,0.463,13357.89051055,47
1666915200000,0.462168,0.479997,0.458,0.472,8235.39629804,33
1667001600000,0.473809,0.4804,0.468639,0.475935,13766.72810394,32
1667088000000,0.468442,0.479902,0.46,0.464238,13486.93222374,27
1667174400000,0.456062,0.462,0.451452,0.462,7916.82705662,34
1667260800000,0.462929,0.465738,0.45893,0.465738,10097.46133776,11
1667347200000,0.463048,0.463049,0.45,0.454995,6561.38263636,19
1667433600000,0.460517,0.460517,0.45494,0.45494,3007.15079034,10
1667520000000,0.454486,0.5072,0.454486,0.500871,52752.01221156,115
1667606400000,0.501,0.505,0.493477,0.495211,10622.08087915,38
1667692800000,0.492342,0.492619,0.472,0.472,8140.1350288,20
1667779200000,0.470001,0.481441,0.460289,0.465219,23543.47435405,49
1667865600000,0.460493,0.469994,0.352,0.399863,106252.40548418,408
1667952000000,0.40316,0.408999,0.323,0.378649,34289.13892303,168
1668038400000,0.378996,0.400901,0.338252,0.397414,90688.18903514,359
1668124800000,0.396631,0.409998,0.371123,0.373725,21057.5932779,81
1668211200000,0.380182,0.399937,0.362385,0.362881,19224.28057909,47
1668297600000,0.362927,0.364954,0.334381,0.334381,34336.2638032,138
1668384000000,0.354629,0.379998,0.323864,0.373885,85032.21523091,192
1668470400000,0.3791,0.396,0.3767,0.389437,45979.02528806,134
1668556800000,0.386,0.387159,0.364712,0.37797,69932.80478877,89
1668643200000,0.374034,0.3838,0.372793,0.383648,4431.47060656,13
1668729600000,0.381865,0.384887,0.378965,0.3821,1209.66924621,8
1668816000000,0.3821,0.384,0.378976,0.384,11289.93688497,20
1668902400000,0.38475,0.39333,0.361485,0.361749,7685.40273148,25
1668988800000,0.36,0.367064,0.348554,0.367064,9932.67072435,45
1669075200000,0.366626,0.3776,0.359521,0.3776,8036.02099938,37
1669161600000,0.372511,0.378,0.37204,0.378,7878.13589768,15
1669248000000,0.378378,0.407309,0.377884,0.401179,24671.79535942,41
1669334400000,0.39464,0.417392,0.39464,0.404516,15287.00798084,68
1669420800000,0.409634,0.41,0.392001,0.392643,12260.13236185,29
1669507200000,0.400972,0.405705,0.400972,0.40445,1201.39188967,7
1669593600000,0.396201,0.396201,0.379843,0.390885,5927.54396678,32
1669680000000,0.390119,0.40173,0.38869,0.40173,8512.82754474,15
1669766400000,0.405999,0.410718,0.393438,0.41,19507.78287509,39
1669852800000,0.399599,0.404047,0.396945,0.399325,8450.49836096,14
1669939200000,0.393789,0.397297,0.387838,0.396139,6353.62910834,21
1670025600000,0.395743,0.396088,0.39019,0.39029,8213.14943873,16
1670112000000,0.390431,0.392481,0.38976,0.391023,979.83787437,12
1670198400000,0.395677,0.401371,0.382349,0.39,9006.97467344,21
1670284800000,0.383764,0.404956,0.383764,0.391693,14179.26353664,14
1670371200000,0.389047,0.404996,0.376806,0.384856,1983.03945667,16
1670457600000,0.388459,0.394801,0.385225,0.394801,9279.93567738,6
